CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster
127,Male,43,71,35,5
129,Male,59,71,11,5
131,Male,47,71,9,5
135,Male,20,73,5,5
137,Female,44,73,7,5
139,Male,19,74,10,5
141,Female,57,75,5,5
145,Male,25,77,12,5
147,Male,48,77,36,5
149,Female,34,78,22,5
151,Male,43,78,17,5
153,Female,44,78,20,5
155,Female,47,78,16,5
157,Male,37,78,1,5
159,Male,34,78,1,5
163,Male,19,81,5,5
165,Male,50,85,26,5
167,Male,42,86,20,5
169,Female,36,87,27,5
171,Male,40,87,13,5
173,Male,36,87,10,5
175,Female,52,88,13,5
177,Male,58,88,15,5
179,Male,59,93,14,5
181,Female,37,97,32,5
183,Male,46,98,15,5
185,Female,41,99,39,5
187,Female,54,101,24,5
189,Female,41,103,17,5
191,Female,34,103,23,5
193,Male,33,113,8,5
195,Female,47,120,16,5
197,Female,45,126,28,5
199,Male,32,137,18,5
